Unique Identifier,Host Name,Physical/Virtual,Data Center Location,Platform,Service Description,Primary Function,Customer Contact One,Number of Processors (Physical/Virtual),Cores Per Processor (Virtual = 1),Total Cores,Physical/Allocated Memory (GB),Primary IP Address,VLAN,Backup IP Address,VLAN,Domain Name (Windows Only),Product,Version,Edition,Service Pack / Hotfix Level
LAT0000001,TELAPP401P,Virtual,Telford,Windows,TIBCO,Application,Andrew Fenna,TBC,1,#VALUE!,TBC,172.31.144.129,103 FE_WEB,172.31.77.82,501,tlrg.org,Windows Server,2008 R2,Enterprise,Servce Pack 1
LAT0000002,TELAPP402P,Virtual,Telford,Windows,TIBCO,Application,Andrew Fenna,TBC,1,#VALUE!,TBC,172.31.144.130,103 FE_WEB,172.31.77.84,501,tlrg.org,Windows Server,2008 R2,Enterprise,Servce Pack 1
LAT0000003,TELAPP403P,Virtual,Telford,Windows,TIBCO,Application,Andrew Fenna,TBC,1,#VALUE!,TBC,172.31.144.131,103 FE_WEB,172.31.77.85,501,tlrg.org,Windows Server,2008 R2,Enterprise,Servce Pack 1
LAT0000004,TELAPP404P,Virtual,Telford,Windows,TIBCO,Application,Andrew Fenna,TBC,1,#VALUE!,TBC,172.31.144.132,103 FE_WEB,172.31.77.86,501,tlrg.org,Windows Server,2008 R2,Enterprise,Servce Pack 1
LAT0000005,TELAPP405P,Virtual,Telford,Linux,TBC,NFS Share,LateRooms,1,1,1,4,172.31.141.1,104 NETWORK_SERVICES,172.31.77.93,501,Not Applicable,Enterprise Linux,12.04,TBC,TBC
LAT0000019,LRG-UKTEL-LG-01 ,Virtual,Telford,Windows,Kiwi SysLog,Syslog,Xerox ,1,1,1,1,172.31.143.81,111 NETWORK_MGMT,172.31.177.80,501,WorkGroup,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000020,LRG-UKNEW-LG-01,Virtual,Newport,Windows,Kiwi SysLog,Syslog,Xerox ,1,1,1,1,172.31.143.82,111 NETWORK_MGMT,172.31.177.81,501,WorkGroup,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000021,LRG-UKNEW-CSM-01,Physical,Newport,Windows,CSM,CSM,Xerox ,2,TBC,#VALUE!,32,172.31.143.119,111 NETWORK_MGMT,TBC,501,WorkGroup,Windows Server,2008 R2,Enterprise,Servce Pack 1
LAT0000022,LRG-UKTEL-CSM-01,Physical,Telford,Windows,CSM,CSM,Xerox ,2,TBC,#VALUE!,32,172.31.143.120,111 NETWORK_MGMT,10.255.255.253,501,WorkGroup,Windows Server,2008 R2,Enterprise,Servce Pack 1
LAT0000032,TELAPP427P,Virtual,Telford,Windows,GO,Application Tier,LateRooms,4,1,4,8,172.31.164.204,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000033,TELAPP428P,Virtual,Telford,Windows,GO,Application Tier,LateRooms,4,1,4,8,172.31.164.205,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000034,TELAPP429P,Virtual,Telford,Windows,GO,Application Tier,LateRooms,4,1,4,8,172.31.164.206,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000035,TELAPP430P,Virtual,Telford,Windows,GO,Application Tier,LateRooms,4,1,4,8,172.31.164.207,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000038,TELSVC001P,Virtual,Telford,Windows,Administration Terminal Server,Services,LateRooms,4,1,4,16,172.31.141.5,104 SHARED_SVC,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000039,TELSVC002P,Virtual,Telford,Windows,Administration Terminal Server,Services,LateRooms,4,1,4,16,172.31.141.6,104 SHARED_SVC,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000040,TELSVC003P,Virtual,Telford,Windows,Database Terminal Server,Services,LateRooms,4,1,4,16,172.31.141.26,104 SHARED_SVC,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000041,TELSVC004P,Virtual,Telford,Windows,Database Terminal Server,Services,LateRooms,4,1,4,16,172.31.141.27,104 SHARED_SVC,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000042,TELSVC005P,Virtual,Telford,Windows,Finance Terminal Server,Services,LateRooms,4,1,4,32,172.31.141.9,104 SHARED_SVC,N/A,N/A,ad.laterooms.com,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000043,TELSVC006P,Virtual,Telford,Windows,Finance Terminal Server,Services,LateRooms,4,1,4,32,172.31.141.10,104 SHARED_SVC,N/A,N/A,ad.laterooms.com,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000044,TELMGT001P,Virtual,Telford,Windows,Xerox Management Server,Management,Xerox,2,1,2,8,172.31.141.25,104 SHARED_SVC,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000074,NEWDBM001P,Physical,Newport,Windows,SQL Subscriber (MasterDB),Database (XL),LateRooms,2,TBC,#VALUE!,128,172.31.146.2,106 DATABASES,TBC,501,tlrg.org,Windows Server,2008 R2,Enterprise,Servce Pack 1
LAT0000075,NEWDBM009P,Virtual,Newport,Windows,MasterDB Witness,Database (S),LateRooms,4,1,4,8,172.31.146.4,106 DATABASES,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000076,NEWDBM052P,Virtual,Newport,Windows,Sage Replacement,Database (M),LateRooms,4,1,4,32,172.31.146.53,106 DATABASES,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000077,NEWDBS010P,Physical,Newport,Windows,SQL Subscriber (Search),Database (XL),LateRooms,2,TBC,#VALUE!,128,172.31.146.12,106 DATABASES,TBC,501,tlrg.org,Windows Server,2008 R2,Enterprise,Servce Pack 1
